ssid,bssid,index
nttu,ac:71:2e:c6:2e:fc,444
ap-nttu,ac:71:2e:c6:2f:78,445
ap2-nttu,ac:71:2e:c6:2f:79,446
eduroam,ac:71:2e:c6:2f:7a,447
nttu,ac:71:2e:c6:2f:7c,448
ap-nttu,ac:71:2e:c6:2f:f8,449
ap2-nttu,ac:71:2e:c6:2f:f9,450
eduroam,ac:71:2e:c6:2f:fa,451
nttu,ac:71:2e:c6:2f:fb,452
nttu,ac:71:2e:c6:2f:fc,453
ap-nttu,ac:71:2e:c6:34:78,454
ap2-nttu,ac:71:2e:c6:34:79,455
eduroam,ac:71:2e:c6:34:7a,456
nttu,ac:71:2e:c6:34:7c,457
ap-nttu,ac:71:2e:c6:34:f8,458
ap2-nttu,ac:71:2e:c6:34:f9,459
eduroam,ac:71:2e:c6:34:fa,460
nttu,ac:71:2e:c6:34:fc,461
ap-nttu,ac:71:2e:c6:35:58,462
ap2-nttu,ac:71:2e:c6:35:59,463
eduroam,ac:71:2e:c6:35:5a,464
nttu,ac:71:2e:c6:35:5c,465
ap-nttu,ac:71:2e:c6:43:18,466
ap2-nttu,ac:71:2e:c6:43:19,467
eduroam,ac:71:2e:c6:43:1a,468
nttu,ac:71:2e:c6:43:1c,469
ap-nttu,ac:71:2e:c6:43:58,470
ap2-nttu,ac:71:2e:c6:43:59,471
eduroam,ac:71:2e:c6:43:5a,472
nttu,ac:71:2e:c6:43:5b,473
nttu,ac:71:2e:c6:43:5c,474
ap-nttu,ac:71:2e:c6:44:58,475
ap2-nttu,ac:71:2e:c6:44:59,476
eduroam,ac:71:2e:c6:44:5a,477
nttu,ac:71:2e:c6:44:5c,478
eduroam,b2:6c:ac:03:5e:bb,479
eduroam,b2:6c:ac:2c:74:e9,480
eduroam,b2:6c:ac:2c:74:fb,481
eduroam,b2:6c:ac:2c:75:9d,482
eduroam,b2:6c:ac:2c:88:87,483
eduroam,b2:6c:ac:2c:8c:1d,484
eduroam,b2:6c:ac:2c:8c:53,485
eduroam,b2:6c:ac:2c:98:87,486
eduroam,b2:6c:ac:2c:9e:03,487
eduroam,b2:6c:ac:2c:9e:0b,488
eduroam,b2:6c:ac:2c:9e:27,489
eduroam,b2:6c:ac:2c:9e:c9,490
eduroam,b2:6c:ac:2c:9f:e9,491
eduroam,b2:6c:ac:2c:9f:f1,492
eduroam,b2:6c:ac:5d:c2:c3,493
eduroam,b2:6c:ac:7d:d7:79,494
eduroam,b2:6c:ac:7e:74:8d,495
eduroam,b2:6c:ac:7e:74:97,496
eduroam,b2:6c:ac:7e:7a:2d,497
eduroam,b2:6c:ac:92:87:5d,498
nttu,c2:6c:ac:03:5e:bb,499
nttu,c2:6c:ac:2c:74:e9,500
nttu,c2:6c:ac:2c:74:fb,501
nttu,c2:6c:ac:2c:75:9d,502
nttu,c2:6c:ac:2c:88:87,503
nttu,c2:6c:ac:2c:8c:1d,504
nttu,c2:6c:ac:2c:8c:53,505
nttu,c2:6c:ac:2c:9e:0b,506
nttu,c2:6c:ac:2c:9f:f1,507
nttu,c2:6c:ac:5d:c2:c3,508
nttu,c2:6c:ac:7d:d7:79,509
nttu,c2:6c:ac:92:87:5d,510
nttu,d2:6c:ac:5d:c2:c3,511
nttu,d2:6c:ac:7d:d7:79,512
nttu,d2:6c:ac:7e:74:8d,513
nttu,d2:6c:ac:7e:7a:2d,514
ap-nttu,e8:ed:d6:80:76:98,515
ap2-nttu,e8:ed:d6:80:76:99,516
nttu,e8:ed:d6:80:76:9b,517
ap-nttu,e8:ed:d6:81:06:d8,518
ap2-nttu,e8:ed:d6:81:06:d9,519
eduroam,e8:ed:d6:81:06:da,520
nttu,e8:ed:d6:81:06:db,521
ap-nttu,e8:ed:d6:81:5e:98,522
ap2-nttu,e8:ed:d6:81:5e:99,523
eduroam,e8:ed:d6:81:5e:9a,524
nttu,e8:ed:d6:81:5e:9b,525
ap-nttu,e8:ed:d6:81:79:b8,526
ap2-nttu,e8:ed:d6:81:79:b9,527
eduroam,e8:ed:d6:81:79:ba,528
nttu,e8:ed:d6:81:79:bb,529
nttu,e8:ed:d6:81:8f:fb,530
